Name,Condition,Price,Description
Mini-Fridge,Used (Good),40,"Small black compact fridge, works perfectly, some cosmetic scratches on the side. Great for a dorm room!"
Study Desk Lamp,New (Unopened Box),15,"Flexible gooseneck LED lamp with three brightness settings. Bought two by mistake."
Calculus III Notes,Used (Like New),20,"Printed and bound lecture notes for MATH 301, Fall 2024 semester. Includes all practice problems and solutions."
Ergonomic Desk Chair,Used (Fair),30,"Basic black mesh office chair. Back support and height adjustment work, but the armrest padding is slightly worn."
Blackout Curtains (Set of 2),Used (Good),10,"Grey, 42"" x 84"". Used one semester in a south-facing dorm window."
Yoga Mat,Used (Excellent),8,"Standard thickness, purple. Only used a few times."
HDMI Monitor (24-inch),Used (Good),65,"1080p resolution, 60Hz. Comes with power cable and HDMI cable. Perfect second screen for coding or writing papers."
Bike Lock (U-Lock),Used (Good),15,"Heavy-duty Kryptonite U-Lock. Essential for securing a bike on campus. Includes one key."
Vacuum Cleaner (Small),Used (Fair),25,"Small bagless upright vacuum cleaner. Perfect for cleaning up a studio apartment or dorm room rug."
Iron & Ironing Board,Used (Good),12,"Basic folding ironing board and a steam iron. Only used a couple of times for interviews."
Formal Wear/Suit,Used (Excellent),50,"Men's navy blue suit jacket and pants. Size 40R. Worn once for a career fair. Dry cleaned."
Outdoor Camping Tent,Used (Good),35,"Two-person dome tent. Perfect for weekend trips or cheap festival accommodation. All poles and pegs included."
Moving Boxes (Bulk),Used (Good),10,"Stack of 20 assorted moving boxes (Medium and Large). Clean and disassembled flat. Selling cheap for pickup."
Video Game Console (Older),Used (Fair),80,"Nintendo Wii console with motion sensor bar and two controllers. Great for casual party games. No games included."
Tool Kit (Basic),Used (Good),18,"Small kit with a hammer, screwdriver set, pliers, and measuring tape. Essential for assembling IKEA furniture."
Portable Projector,Used (Good),75,"Small LED mini-projector. 720p resolution. Great for movie nights on the apartment wall. Comes with remote."
Language Learning Books,Used (Like New),15,"Assimil Complete German course book and CDs. Never got past Chapter 3!"